id,flag_tsunami,year,month,day,hour,minute,second,focal_depth,eq_primary,eq_mag_mw,eq_mag_ms,eq_mag_mb,eq_mag_ml,eq_mag_mfa,eq_mag_unk,intensity,country,state,location_name,latitude,longitude,region_code,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,houses_destroyed,houses_destroyed_description,houses_damaged,houses_damaged_description,total_deaths,total_deaths_description,total_missing,total_missing_description,total_injuries,total_injuries_description,total_damage_millions_dollars,total_damage_description,total_houses_destroyed,total_houses_destroyed_description,total_houses_damaged,total_houses_damaged_description
5735,Tsu,2003,11,17,6.0,43.0,6.8,33.0,7.8,7.8,7.2,6.2,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS,51.146,178.65,150,,,,,,,,,,,,,,,,,,,,,,,,
6738,Tsu,2005,6,15,2.0,50.0,53.1,10.0,7.2,7.2,7.1,6.2,,,,4.0,USA,CA,CALIFORNIA:  OFF COAST NORTHERN,41.301,-125.97,150,,,,,,,,,,,,,,,,,,,,,,,,
7532,Tsu,2007,8,2,3.0,21.0,42.8,21.0,6.7,6.7,6.6,6.3,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,51.307,-179.971,150,,,,,,,,,,,,,,,,,,,,,,,,
7601,,2007,8,6,8.0,48.0,40.0,2.0,4.2,,,4.2,3.9,,,,USA,UT,UTAH:  HUNTINGTON,39.465,-111.237,150,9.0,1.0,,,,1.0,,,,,,,9.0,1.0,,,,1.0,,,,,,
7614,,2007,8,17,0.0,38.0,56.0,0.0,1.6,,,,1.6,,,,USA,UT,UTAH,39.464,-111.207,150,3.0,1.0,,,6.0,1.0,,,,,,,3.0,1.0,,,6.0,1.0,,,,,,
9824,Tsu,2011,6,24,3.0,9.0,39.4,52.0,7.3,7.3,,6.9,6.7,,,,USA,,ALASKA: ALEUTIAN ISLANDS: FOX ISLANDS,52.05,-171.836,150,,,,,,,,,,,,,,,,,,,,,,,,
9839,Tsu,2011,9,2,10.0,55.0,53.5,32.0,6.8,6.8,6.9,6.5,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.171,-171.708,150,,,,,,,,,,,,,,,,,,,,,,,,
10100,Tsu,2014,6,23,20.0,53.0,7.0,109.0,7.9,7.9,,,,,,,USA,AK,ALASKA:  ALEUTIAN ISLANDS,51.849,178.735,150,,,,,,,,,,,,,,,,,,,,,,,,
10107,Tsu,2014,7,25,10.0,55.0,12.0,10.0,6.1,6.1,,,,,,4.0,USA,AK,ALASKA:  SOUTHEASTERN,58.306,-136.96,150,,,,,,,,,,,,,,,,,,,,,,,,
10157,Tsu,2015,7,27,4.0,49.0,,23.0,6.9,6.9,,,,,,,USA,AK,ALASKA,52.214,-169.399,150,,,,,,,,,,,,,,,,,,,,,,,,
10247,Tsu,2017,5,1,12.0,31.0,54.0,2.0,6.2,6.2,,,,,,,USA,AK,ALASKA:  SKAGWAY,59.844,-136.695,150,,,,,,,,,,,,,,,,,,,,,,,,
8953,,2002,8,19,11.0,1.0,1.1,580.0,7.7,7.7,,6.7,,,,,FIJI,,FIJI ISLANDS,-21.696,-179.513,170,,,,,,,,,,,,,,,,,,,,,,,,
8954,,2002,8,19,11.0,8.0,24.3,675.0,7.7,7.7,,7.0,,,,,FIJI,,FIJI ISLANDS,-23.884,178.495,170,,,,,,,,,,,,,,,,,,,,,,,,
10225,Tsu,2017,1,3,21.0,52.0,31.0,17.0,6.9,6.9,,,,,,,FIJI,,FIJI ISLANDS,-19.326,176.053,170,,,,,,,,,,,,,,,,,,,,,,,,
10356,Tsu,2018,8,19,0.0,19.0,37.0,563.0,8.2,8.2,,,,,,,FIJI,,FIJI ISLANDS,-18.178,-178.111,170,,,,,,,,,,,,,,,,,,,,,,,,
10361,,2018,9,6,15.0,49.0,14.0,609.0,7.8,7.8,,,,,,,FIJI,,FIJI ISLANDS,-18.494,179.332,170,,,,,,,,,,,,,,,,,,,,,,,,
5804,,2004,10,7,21.0,46.0,20.3,35.0,5.6,5.6,5.4,5.6,,,,,IRAN,,IRAN:  GOLESTAN,37.125,54.477,140,,,,,60.0,2.0,,,,,,,,,,,60.0,2.0,,,,,,
5836,,2005,1,10,18.0,47.0,30.1,32.0,5.4,5.4,5.1,5.3,,,,,IRAN,,IRAN:  GORGAN,37.103,54.574,140,,,,,110.0,3.0,,,,,,,,,,,110.0,3.0,,,,,,
7616,,2007,8,25,4.0,24.0,21.9,10.0,5.0,,,5.0,4.5,,,,IRAN,,"IRAN:  HADJI ABAD, ORZUIYEH",28.154,56.652,140,,,,,4.0,1.0,,,,,,,,,,,4.0,1.0,,,,,,
10288,,2017,12,20,19.0,57.0,37.0,10.0,4.9,,,4.9,,,,,IRAN,,IRAN:  ALBORZ,35.654,50.949,140,2.0,1.0,,,115.0,3.0,,,,,,,2.0,1.0,,,115.0,3.0,,,,,,
10289,,2017,12,27,21.0,24.0,33.0,10.0,4.0,,,4.0,,,,,IRAN,,"IRAN: ALBORZ, TEHRAN",35.692,50.9,140,1.0,1.0,,,57.0,2.0,,,,,,,1.0,1.0,,,57.0,2.0,,,,,,
10290,,2018,1,6,15.0,22.0,9.0,10.0,5.0,5.0,,,,,,,IRAN,,IRAN:  KERMANSHAH,34.649,45.799,140,,,,,51.0,2.0,,,,,,,,,,,51.0,2.0,,,,,,
10322,,2018,4,1,8.0,35.0,27.0,10.0,5.3,,,5.3,,,,,IRAN,,IRAN:  KERMANSHAH,34.456,45.764,140,,,,,54.0,2.0,,,,,,,,,,,54.0,2.0,,,,,,
6826,,2005,10,31,2.0,10.0,28.7,40.0,5.4,5.4,,5.4,,,,,PERU,,PERU:  N,-5.852,-78.704,160,,,,,,,,,20.0,1.0,,,,,,,,,,,20.0,1.0,,
10166,,2015,11,24,22.0,45.0,,636.0,7.6,7.6,,,,,,4.0,PERU,,PERU-BRAZIL,-10.77,-71.41,160,,,,,,,,,,,,,,,,,,,,,,,,
10165,,2015,11,24,22.0,50.0,,606.0,7.6,7.6,,,,,,4.0,PERU,,PERU-BRAZIL,-10.07,-70.98,160,,,,,,,,,,,,,,,,,,,,,,,,
10284,,2017,7,18,2.0,5.0,19.0,44.0,6.4,6.4,,,,,,,PERU,,PERU:  AREQUIPA,-16.416,-73.636,160,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,
10283,,2017,8,11,21.0,45.0,9.0,41.0,5.6,5.6,,,,,,,PERU,,PERU: AREQUIPA,-16.299,-73.474,160,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,
10396,,2019,3,1,8.0,50.0,41.0,257.0,7.0,7.0,,,,,,,PERU,,PERU:  AREQUIPA,-14.684,-70.127,160,1.0,1.0,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,
8135,,2005,6,13,22.0,44.0,33.9,116.0,7.7,7.7,,6.8,,,,,CHILE,,CHILE:  TARAPACA,-19.987,-69.197,160,11.0,1.0,,,200.0,3.0,,,544.0,3.0,,,11.0,1.0,,,200.0,3.0,,,544.0,3.0,,
9776,Tsu,2011,2,11,20.0,5.0,30.7,28.0,6.8,6.8,,6.0,,,,,CHILE,,CHILE:  OFF COAST CENTRAL,-36.474,-73.125,160,,,,,,,,,,,,,,,,,,,,,,,,
10080,Tsu,2014,4,3,2.0,43.0,11.0,22.0,7.7,7.7,,,,,,8.0,CHILE,,CHILE:  NORTHERN:  IQUIQUE,-20.571,-70.493,160,,,,,,,,,,,,,,,,,,,,,,,,
10115,Tsu,2014,10,9,2.0,14.0,44.0,17.0,7.0,7.0,,,,,,,CHILE,,CHILE: EASTER ISLAND REGION,-32.108,-110.811,160,,,,,,,,,,,,,,,,,,,,,,,,
10162,Tsu,2015,11,11,1.0,54.0,37.0,10.0,6.9,6.9,,,,,,7.0,CHILE,,CHILE:  LA SERENA,-29.439,-72.105,160,,,,,,,,,,,,,,,,,,,,,,,,
10244,Tsu,2017,4,24,21.0,38.0,26.0,25.0,6.9,6.9,,6.3,,,,,CHILE,,CHILE:  VALPARAISO,-33.073,-72.051,160,,,,,,,,,,,,,,,,,,,,,,,,
10318,,2017,8,2,7.0,15.0,13.0,92.0,5.4,5.4,,,,,,,CHILE,,CHILE:  SANTIAGO,-33.212,-70.626,160,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,
6763,,2005,7,25,15.0,43.0,41.1,48.0,4.7,,4.7,5.0,,,,,CHINA,,CHINA:  DAQING,46.827,125.058,30,1.0,1.0,,,12.0,1.0,,,,,,,1.0,1.0,,,12.0,1.0,,,,,,
7321,,2006,7,22,1.0,10.0,29.0,56.0,4.9,4.9,4.6,5.0,,,,,CHINA,,CHINA:  YANJIN,27.995,104.138,30,22.0,1.0,,,106.0,3.0,,,,,,,22.0,1.0,,,106.0,3.0,,,,,,
